run,seed,allies,enemies,difficulty,victory_condition,ending,human_victory,turns,score,allies_evacuated,actions,action_log,peak_heap_bytes
run-0684,1840299785808607724,3449,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,22,22455,2263,162481,run-0684-actions.log.gz,37934008
run-0685,7368039386687421898,3454,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,23,-11339,0,156801,run-0685-actions.log.gz,38458296
run-0686,57141698344231417,3459,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,28,-11364,0,193965,run-0686-actions.log.gz,38458296
run-0687,-5307687095083318947,3464,1732,MUY_FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,33,-2474,231,153343,run-0687-actions.log.gz,38982584
run-0688,-2756264415361566017,3469,2602,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,26,-1691,231,147557,run-0688-actions.log.gz,39506872
run-0689,-7750175667783502023,3474,3474,NORMAL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,30,15912,1100,178508,run-0689-actions.log.gz,39506872
run-0690,9082993948654860463,3479,4349,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,33,35518,3479,202692,run-0690-actions.log.gz,40031160
run-0691,-1038930206023399634,3484,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,32,24950,2286,215898,run-0691-actions.log.gz,40055784
run-0692,-6407754182859968705,3489,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,22,22457,2289,166910,run-0692-actions.log.gz,40555448
run-0693,4019506593042384366,3494,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,24,-11500,0,165898,run-0693-actions.log.gz,41079736
run-0694,3846549507550244605,3498,1749,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,30,-13798,0,108511,run-0694-actions.log.gz,41079736
run-0695,5739962238091033080,3503,2627,FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,29,-1702,233,165060,run-0695-actions.log.gz,41604024
run-0696,-7931284492525423262,3508,3508,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,27,-914,233,171434,run-0696-actions.log.gz,42128312
run-0697,4224813093407412959,3513,4391,DIFICIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,32,17544,1112,212502,run-0697-actions.log.gz,42128312
run-0698,-7688502814422361669,3518,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,35,37091,3518,234649,run-0698-actions.log.gz,42652600
run-0699,-3495006445421289922,3523,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,39,24945,2312,270052,run-0699-actions.log.gz,43176888
run-0700,4741422996388306721,3528,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,27,22454,2315,208366,run-0700-actions.log.gz,43701176
run-0701,-13876845046840444,3533,1767,MUY_FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,28,-13924,0,103121,run-0701-actions.log.gz,43701176
run-0702,2153838921686012140,3538,2654,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,23,-13317,0,105788,run-0702-actions.log.gz,44225464
run-0703,1813683468374212415,3543,3543,NORMAL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,22,-906,236,143086,run-0703-actions.log.gz,44749752
run-0704,8775308138690929987,3547,4434,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,34,-120,236,234156,run-0704-actions.log.gz,44749752
run-0705,7635500282690154103,3552,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,29,18578,1125,188763,run-0705-actions.log.gz,45274040
run-0706,-8307652941937171580,3557,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,34,37365,3557,215638,run-0706-actions.log.gz,45798328
run-0707,3626941146606864176,3562,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,31,24948,2337,220950,run-0707-actions.log.gz,45798328
run-0708,-4098602378062756957,3567,1784,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,25,20428,2341,122958,run-0708-actions.log.gz,46322616
run-0709,-8079718752642787157,3572,2679,FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,35,-13447,0,159344,run-0709-actions.log.gz,46846904
run-0710,2450890677375915394,3577,3577,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,35,-12839,0,199691,run-0710-actions.log.gz,46846904
run-0711,-1731349256970190920,3582,4478,DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,38,-118,238,267115,run-0711-actions.log.gz,47371192
run-0712,8785481618823477843,3587,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,27,366,239,208966,run-0712-actions.log.gz,47895480
run-0713,-7508663305390799676,3592,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_JUGADOR,true,26,18497,1137,181308,run-0713-actions.log.gz,48419768
run-0714,8187339834359565285,3596,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,24,37648,3596,160234,run-0714-actions.log.gz,48419768
run-0715,-4289049355666026140,3601,1801,MUY_FACIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,31,19998,2363,151315,run-0715-actions.log.gz,48944056
run-0716,3371770741027399033,3606,2705,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,25,22232,2367,137828,run-0716-actions.log.gz,49468344
run-0717,3873691763133913911,3611,3611,NORMAL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,30,-12946,0,175223,run-0717-actions.log.gz,49468344
run-0718,-1809589983493791333,3616,4520,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,29,-12329,0,190031,run-0718-actions.log.gz,49992632
run-0719,-690238296297224545,3621,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,25,334,241,195862,run-0719-actions.log.gz,50516920
run-0720,2366137835471968361,3626,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,32,323,241,249635,run-0720-actions.log.gz,50516920
run-0721,872030793305555694,3631,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_JUGADOR,true,25,18421,1150,185974,run-0721-actions.log.gz,51041208
run-0722,-648541538076713062,3636,1818,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,29,31559,3636,135472,run-0722-actions.log.gz,51574728
run-0723,-84990336180512581,3641,2731,FACIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,22,21521,2389,126799,run-0723-actions.log.gz,51574728
run-0724,-4725768281784775418,3646,3646,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,27,24010,2393,161863,run-0724-actions.log.gz,52089784
run-0725,7778188302178996180,3650,4563,DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,37,-12443,0,226080,run-0725-actions.log.gz,52089784
